epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.6441,0.79521,0.47557,1,0.75098,8.335e-05,8.335e-05,8.335e-05
2,81.1961,0.77845,0.50287,1,0.70801,0.000178883,0.000178883,0.000178883
3,100.52,0.73273,0.60345,1,0.6582,0.000256331,0.000256331,0.000256331
4,102.204,0.73427,0.69253,1,0.60449,0.000304394,0.000304394,0.000304394
5,122.717,0.69885,0.6954,1,0.58496,0.000316426,0.000316426,0.000316426
6,140.995,0.68013,0.68534,1,0.58887,0.000291754,0.000291754,0.000291754
7,158.039,0.65857,0.71839,1,0.55859,0.000236178,0.000236178,0.000236178
8,160.031,0.63196,0.74138,1,0.53174,0.000161545,0.000161545,0.000161545
9,179.524,0.63639,0.75431,1,0.51562,8.44476e-05,8.44476e-05,8.44476e-05
10,195.619,0.61533,0.76868,1,0.51172,2.41646e-05,2.41646e-05,2.41646e-05
