epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.5502,0.74672,0.46839,1,0.74512,8.335e-05,8.335e-05,8.335e-05
2,80.5546,0.71651,0.52299,1,0.70459,0.000178883,0.000178883,0.000178883
3,99.6423,0.68643,0.63793,1,0.64014,0.000256331,0.000256331,0.000256331
4,101.313,0.6659,0.70833,1,0.58398,0.000304394,0.000304394,0.000304394
5,120.992,0.64288,0.68822,1,0.57812,0.000316426,0.000316426,0.000316426
6,139.122,0.62188,0.71695,1,0.55371,0.000291754,0.000291754,0.000291754
7,156.304,0.59136,0.76149,1,0.50684,0.000236178,0.000236178,0.000236178
8,158.012,0.56033,0.77155,1,0.48169,0.000161545,0.000161545,0.000161545
9,177.17,0.56268,0.7773,1,0.46997,8.44476e-05,8.44476e-05,8.44476e-05
10,193.054,0.54018,0.78736,1,0.46484,2.41646e-05,2.41646e-05,2.41646e-05
